Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_178,VGND,li1,89.2400,21.7600,0.000000
FILLER_4_156,VGND,li1,77.5100,21.7600,0.000000
FILLER_4_144,VGND,li1,72.2200,21.7600,0.000000
FILLER_4_134,VGND,li1,68.5400,21.7600,0.000000
FILLER_4_122,VGND,li1,64.4000,21.7600,0.000000
FILLER_4_78,VGND,li1,41.8600,21.7600,0.000000
FILLER_4_59,VGND,li1,33.1200,21.7600,0.000000
FILLER_4_49,VGND,li1,28.7500,21.7600,0.000000
FILLER_4_29,VGND,li1,19.5500,21.7600,0.000000
FILLER_4_15,VGND,li1,14.2600,21.7600,0.000000
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_3_174,VGND,li1,88.3200,21.7600,0.000000
FILLER_3_167,VGND,li1,82.5700,21.7600,0.000000
FILLER_3_163,VGND,li1,80.7300,21.7600,0.000000
FILLER_3_159,VGND,li1,79.5800,21.7600,0.000000
FILLER_3_147,VGND,li1,75.9000,21.7600,0.000000
FILLER_3_143,VGND,li1,71.5300,21.7600,0.000000
FILLER_3_139,VGND,li1,70.3800,21.7600,0.000000
FILLER_3_130,VGND,li1,66.0100,21.7600,0.000000
FILLER_3_119,VGND,li1,61.1800,21.7600,0.000000
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000000
FILLER_3_103,VGND,li1,54.7400,21.7600,0.000000
FILLER_3_94,VGND,li1,49.6800,21.7600,0.000000
FILLER_3_86,VGND,li1,46.0000,21.7600,0.000000
FILLER_3_79,VGND,li1,42.0900,21.7600,0.000000
FILLER_3_48,VGND,li1,28.2900,21.7600,0.000000
FILLER_3_23,VGND,li1,16.7900,21.7600,0.000000
FILLER_3_15,VGND,li1,14.2600,21.7600,0.000000
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_2_185,VGND,li1,90.8500,16.3200,0.000000
FILLER_2_177,VGND,li1,88.7800,16.3200,0.000000
FILLER_2_165,VGND,li1,84.1800,16.3200,0.000000
FILLER_2_153,VGND,li1,78.6600,16.3200,0.000000
FILLER_2_141,VGND,li1,73.1400,16.3200,0.000000
FILLER_2_139,VGND,li1,69.6900,16.3200,0.000000
FILLER_2_133,VGND,li1,68.0800,16.3200,0.000000
FILLER_2_121,VGND,li1,63.9400,16.3200,0.000000
FILLER_2_109,VGND,li1,58.4200,16.3200,0.000000
FILLER_2_97,VGND,li1,52.9000,16.3200,0.000000
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000000
FILLER_2_81,VGND,li1,43.4700,16.3200,0.000000
FILLER_2_73,VGND,li1,40.9400,16.3200,0.000000
